,DateTime,Occupied
20680,2018-12-05 12:55:00,False
20681,2018-12-05 13:00:00,False
20682,2018-12-05 13:05:00,False
20683,2018-12-05 13:10:00,False
20684,2018-12-05 13:15:00,False
20685,2018-12-05 13:20:00,False
20686,2018-12-05 13:25:00,False
20687,2018-12-05 13:30:00,False
20688,2018-12-05 13:35:00,False
20689,2018-12-05 13:40:00,False
20690,2018-12-05 13:45:00,False
20691,2018-12-05 13:50:00,False
20692,2018-12-05 13:55:00,False
20693,2018-12-05 14:00:00,False
20694,2018-12-05 14:05:00,False
20695,2018-12-05 14:10:00,False
20696,2018-12-05 14:15:00,False
20697,2018-12-05 14:20:00,False
20698,2018-12-05 14:25:00,False
20699,2018-12-05 14:30:00,False
20700,2018-12-05 14:35:00,False
20701,2018-12-05 14:40:00,False
20702,2018-12-05 14:45:00,False
20703,2018-12-05 14:50:00,False
20704,2018-12-05 14:55:00,False
20705,2018-12-05 15:00:00,False
20706,2018-12-05 15:05:00,False
20707,2018-12-05 15:10:00,False
20708,2018-12-05 15:15:00,False
20709,2018-12-05 15:20:00,False
20710,2018-12-05 15:25:00,True
20711,2018-12-05 15:30:00,True
20712,2018-12-05 15:35:00,True
20713,2018-12-05 15:45:00,True
20714,2018-12-05 15:50:00,True
20715,2018-12-05 15:55:00,True
20716,2018-12-05 16:00:00,False
20717,2018-12-05 16:05:00,False
20718,2018-12-05 16:10:00,False
20719,2018-12-05 16:15:00,False
20720,2018-12-05 16:20:00,False
20721,2018-12-05 16:25:00,False
20722,2018-12-05 16:30:00,False
20723,2018-12-05 16:35:00,False
20724,2018-12-05 16:40:00,False
20725,2018-12-05 16:45:00,False
20726,2018-12-05 16:50:00,False
20727,2018-12-05 16:55:00,False
20728,2018-12-05 17:00:00,False
20729,2018-12-05 17:05:00,False
20730,2018-12-05 17:10:00,False
20731,2018-12-05 17:15:00,False
20732,2018-12-05 17:20:00,False
20733,2018-12-05 17:25:00,False
20734,2018-12-05 17:30:00,False
20735,2018-12-05 17:35:00,False
20736,2018-12-05 17:40:00,False
20737,2018-12-05 17:45:00,False
20738,2018-12-05 17:50:00,False
20739,2018-12-05 17:55:00,False
20740,2018-12-05 18:00:00,False
20741,2018-12-05 18:05:00,False
20742,2018-12-05 18:10:00,False
20743,2018-12-05 18:15:00,False
20744,2018-12-05 18:20:00,False
20745,2018-12-05 18:25:00,False
20746,2018-12-05 18:30:00,False
20747,2018-12-05 18:35:00,False
20748,2018-12-05 18:40:00,False
20749,2018-12-05 18:45:00,False
20750,2018-12-05 18:50:00,False
20751,2018-12-05 18:55:00,False
20752,2018-12-05 19:00:00,False
20753,2018-12-05 19:05:00,False
20754,2018-12-05 19:10:00,False
20755,2018-12-05 19:15:00,False
20756,2018-12-05 19:20:00,False
20757,2018-12-05 19:25:00,False
